Date - Time (Philippine Time),Latitude (ºN),Longitude (ºE),Depth (km),Magnitude,Location
26 April 2024 - 10:36 PM,16.09,122.03,14,1.7,009 km S 54° E of Dinalungan (Aurora)
26 April 2024 - 10:31 PM,5.38,127.43,34,3.1,206 km S 73° E of Jose Abad Santos (Davao Occidental)
26 April 2024 - 09:48 PM,7.7,127.11,14,3.2,062 km N 77° E of Baganga (Davao Oriental)
26 April 2024 - 09:26 PM,9.4,126.21,27,2.3,014 km N 08° E of Cortes (Surigao Del Sur)
26 April 2024 - 09:11 PM,13.66,120.63,129,1.8,019 km S 02° W of Calatagan (Batangas)
26 April 2024 - 08:36 PM,4.09,125.75,1,3.2,151 km S 14° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
26 April 2024 - 08:03 PM,13.76,122.25,1,2.4,011 km N 48° E of General Luna (Quezon)
26 April 2024 - 08:00 PM,12.35,123.78,3,2.6,007 km S 03° W of Batuan (Masbate)
26 April 2024 - 07:11 PM,19.25,121.24,19,2,016 km N 11° E of Dalupiri Island (Calayan) (Cagayan)
26 April 2024 - 06:55 PM,8,125.79,31,2.3,020 km S 69° W of Veruela (Agusan Del Sur)
26 April 2024 - 06:52 PM,13.71,120.5,73,3.4,020 km S 45° W of Calatagan (Batangas)
26 April 2024 - 06:49 PM,8.04,124.61,1,3.3,021 km S 03° E of Talakag (Bukidnon)
26 April 2024 - 06:44 PM,13.98,120.9,10,2.4,006 km N 31° W of Agoncillo (Batangas)
26 April 2024 - 06:32 PM,6.77,124.95,11,3.8,009 km N 73° E of Datu Paglas (Maguindanao Del Sur)
26 April 2024 - 06:28 PM,13.51,120.84,1,3.4,013 km N 83° W of Puerto Galera (Oriental Mindoro)
26 April 2024 - 04:45 PM,13.51,120.81,1,3.1,012 km N 49° E of Abra De Ilog (Occidental Mindoro)
26 April 2024 - 04:42 PM,13.55,120.85,7,2,017 km N 49° E of Abra De Ilog (Occidental Mindoro)
26 April 2024 - 04:11 PM,8.45,127.35,42,2.1,112 km N 85° E of Hinatuan (Surigao Del Sur)
26 April 2024 - 01:09 PM,3.33,126.07,96,4.1,241 km S 17° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
26 April 2024 - 12:27 PM,9.29,126.01,27,1.8,006 km S 32° E of Cantilan (Surigao Del Sur)
26 April 2024 - 10:28 AM,12.16,125.14,29,2,011 km S 88° W of Maslog (Eastern Samar)
26 April 2024 - 09:26 AM,15.67,119.53,16,3.1,042 km S 76° W of Santa Cruz (Zambales)
26 April 2024 - 09:22 AM,6.01,123.52,38,1.8,077 km S 73° W of Palimbang (Sultan Kudarat)
26 April 2024 - 06:33 AM,8.78,126.33,31,1.6,004 km S 56° E of Marihatag (Surigao Del Sur)
26 April 2024 - 06:00 AM,8.79,127.34,30,3.8,115 km S 83° E of Cagwait (Surigao Del Sur)
26 April 2024 - 04:37 AM,13.68,122.28,6,3.8,011 km N 29° W of Catanauan (Quezon)
26 April 2024 - 04:01 AM,17.86,120.82,6,2.3,015 km N 01° W of Tineg (Abra)
26 April 2024 - 03:22 AM,7.37,123.38,24,2.1,011 km S 19° W of Tabina (Zamboanga Del Sur)
26 April 2024 - 03:20 AM,13.7,120.87,4,1.9,005 km N 08° W of Tingloy (Batangas)
26 April 2024 - 03:19 AM,7.57,127.47,21,3.1,100 km S 89° E of Baganga (Davao Oriental)
26 April 2024 - 03:10 AM,19.05,121.45,4,2.1,024 km N 22° E of Fuga Island (Aparri) (Cagayan)
26 April 2024 - 02:38 AM,7.9,126.97,17,2.7,058 km N 51° E of Baganga (Davao Oriental)
26 April 2024 - 02:27 AM,18.7,120.41,16,2.5,033 km N 50° W of Burgos (Ilocos Norte)
26 April 2024 - 02:09 AM,9.99,126.1,41,1.9,004 km S 40° E of Burgos (Surigao Del Norte)
26 April 2024 - 01:42 AM,6.77,124.5,32,1.9,006 km N 21° W of Esperanza (Sultan Kudarat)
26 April 2024 - 01:35 AM,8.69,126.37,23,3,014 km S 33° E of Marihatag (Surigao Del Sur)
26 April 2024 - 01:06 AM,14.73,121.77,1,2.5,013 km S 80° E of Infanta (Quezon)
26 April 2024 - 12:39 AM,7.67,127.23,3,4.1,075 km N 82° E of Baganga (Davao Oriental)
26 April 2024 - 12:35 AM,7.81,127.13,17,3.1,069 km N 67° E of Baganga (Davao Oriental)
26 April 2024 - 12:28 AM,16.42,122.11,15,2.1,015 km N 06° W of Casiguran (Aurora)
26 April 2024 - 12:12 AM,8.67,126.51,26,2.1,028 km S 58° E of Marihatag (Surigao Del Sur)
25 April 2024 - 11:37 PM,7.66,127.27,9,4.1,079 km N 83° E of Baganga (Davao Oriental)
25 April 2024 - 11:12 PM,6.36,126.02,25,4.2,033 km S 11° W of Governor Generoso (Davao Oriental)
25 April 2024 - 11:07 PM,6.44,124.69,1,3,009 km N 81° W of Banga (South Cotabato)
25 April 2024 - 10:34 PM,18.09,120.82,1,1.7,005 km S 04° W of Carasi (Ilocos Norte)
25 April 2024 - 10:33 PM,17.55,121.11,6,1.4,011 km N 63° W of Balbalan (Kalinga)
25 April 2024 - 10:33 PM,8.25,126.61,31,2.2,032 km N 44° E of Lingig (Surigao Del Sur)
25 April 2024 - 08:53 PM,9.95,124.25,3,2,003 km N 85° E of Danao (Bohol)
25 April 2024 - 08:33 PM,7.89,125.02,13,3.2,008 km S 81° W of City Of Valencia (Bukidnon)
25 April 2024 - 08:08 PM,5.71,125.04,20,2.3,017 km S 17° E of Maasim (Sarangani)
25 April 2024 - 07:19 PM,8.61,124.68,22,2.8,009 km S 62° W of Jasaan (Misamis Oriental)
25 April 2024 - 06:13 PM,18.22,120.83,46,2.1,009 km N 04° E of Carasi (Ilocos Norte)
25 April 2024 - 06:08 PM,14.7,121.75,3,2.8,012 km S 66° E of Infanta (Quezon)
25 April 2024 - 05:06 PM,5.64,126.33,105,2.9,082 km S 68° E of Jose Abad Santos (Davao Occidental)
25 April 2024 - 04:47 PM,8.11,126.64,31,3.9,026 km N 73° E of Lingig (Surigao Del Sur)
25 April 2024 - 02:50 PM,7.81,125.07,11,4,007 km N 63° E of Maramag (Bukidnon)
25 April 2024 - 02:16 PM,12.4,125.71,9,2.4,033 km N 41° E of San Policarpo (Eastern Samar)
25 April 2024 - 01:02 PM,11.81,125.56,10,2.7,012 km S 88° E of Sulat (Eastern Samar)
25 April 2024 - 12:44 PM,7.71,127.26,24,3.2,078 km N 79° E of Baganga (Davao Oriental)
25 April 2024 - 12:36 PM,7.8,127.15,15,2.6,070 km N 69° E of Baganga (Davao Oriental)
25 April 2024 - 12:27 PM,7.82,126.97,6,2.6,052 km N 58° E of Baganga (Davao Oriental)
25 April 2024 - 12:23 PM,7.73,127.3,21,2.9,084 km N 78° E of Baganga (Davao Oriental)
25 April 2024 - 12:20 PM,7.69,127.37,18,5,090 km N 82° E of Baganga (Davao Oriental)
25 April 2024 - 12:19 PM,9.72,124.78,5,2.6,023 km S 83° E of Anda (Bohol)
25 April 2024 - 12:02 PM,17.39,120.41,27,2.9,008 km S 68° W of Narvacan (Ilocos Sur)
25 April 2024 - 09:47 AM,17.78,120.79,16,2.5,007 km N 29° W of Tineg (Abra)
25 April 2024 - 09:27 AM,8.75,126.3,26,1.9,005 km S 01° E of Marihatag (Surigao Del Sur)
25 April 2024 - 09:02 AM,9.22,126.82,2,3,065 km N 65° E of Bayabas (Surigao Del Sur)
25 April 2024 - 08:43 AM,7.85,127.11,16,3.4,068 km N 63° E of Baganga (Davao Oriental)
25 April 2024 - 08:15 AM,9.09,126.51,25,2.1,028 km N 61° E of Bayabas (Surigao Del Sur)
25 April 2024 - 08:03 AM,9.11,126.72,2,3.4,051 km N 72° E of Bayabas (Surigao Del Sur)
25 April 2024 - 07:27 AM,9.2,126.87,1,4,072 km N 68° E of Bayabas (Surigao Del Sur)
25 April 2024 - 07:20 AM,9.08,126.53,18,2.5,029 km N 66° E of Bayabas (Surigao Del Sur)
25 April 2024 - 07:11 AM,9.21,126.7,8,3.6,053 km N 60° E of Bayabas (Surigao Del Sur)
25 April 2024 - 07:07 AM,17.9,120.61,1,2.9,006 km S 70° W of Nueva Era (Ilocos Norte)
25 April 2024 - 06:28 AM,7.84,127.15,13,3.3,072 km N 66° E of Baganga (Davao Oriental)
25 April 2024 - 06:25 AM,9.31,126.46,20,2.3,030 km N 83° E of Cortes (Surigao Del Sur)
25 April 2024 - 05:39 AM,6.43,125.3,29,2.6,007 km N 23° E of Malungon (Sarangani)
25 April 2024 - 05:37 AM,17.18,121.97,19,2.2,009 km N 67° E of City Of Ilagan (Isabela)
25 April 2024 - 05:24 AM,9.28,126.51,20,3.3,035 km East of Cortes (Surigao Del Sur)
25 April 2024 - 05:17 AM,5.52,123.86,512,4.4,085 km S 25° W of Palimbang (Sultan Kudarat)
25 April 2024 - 04:59 AM,6.45,125.26,23,2.4,008 km N 09° W of Malungon (Sarangani)
25 April 2024 - 03:21 AM,7.8,127.16,4,3.3,071 km N 69° E of Baganga (Davao Oriental)
25 April 2024 - 03:06 AM,13.5,120.71,1,1.6,006 km N 19° W of Abra De Ilog (Occidental Mindoro)
25 April 2024 - 01:42 AM,13.01,124.39,31,2.1,022 km S 81° E of Prieto Diaz (Sorsogon)
24 April 2024 - 11:39 PM,12.04,121.93,5,3,004 km S 50° W of San Jose (Romblon)
24 April 2024 - 11:29 PM,5.95,126.41,104,1.9,084 km S 71° E of Don Marcelino (Davao Occidental)
24 April 2024 - 11:24 PM,8.75,126.23,19,3,001 km N 54° E of San Agustin (Surigao Del Sur)
24 April 2024 - 08:30 PM,7.91,126.89,14,2.2,050 km N 75° E of Cateel (Davao Oriental)
24 April 2024 - 07:05 PM,17.66,122.18,16,2,030 km N 11° W of Maconacon (Isabela)
24 April 2024 - 05:24 PM,4.4,126.04,153,3.5,131 km S 32° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
24 April 2024 - 04:48 PM,13.7,120.84,4,2.3,012 km S 67° W of Mabini (Batangas)
24 April 2024 - 04:12 PM,6.78,124.98,18,2.3,013 km S 66° E of Tulunan (Cotabato)
24 April 2024 - 03:16 PM,9.04,126.34,1,2.6,010 km N 39° E of Bayabas (Surigao Del Sur)
24 April 2024 - 03:16 PM,9.05,126.36,2,1.9,012 km N 43° E of Bayabas (Surigao Del Sur)
24 April 2024 - 03:00 PM,8.72,126.25,38,1.4,004 km S 46° E of San Agustin (Surigao Del Sur)
24 April 2024 - 12:52 PM,8.37,126.66,32,1.6,035 km N 90° E of Hinatuan (Surigao Del Sur)
24 April 2024 - 11:26 AM,8.31,126.76,9,2.4,047 km S 82° E of Hinatuan (Surigao Del Sur)
24 April 2024 - 11:20 AM,8.43,126.72,7,2.1,043 km N 81° E of Hinatuan (Surigao Del Sur)
24 April 2024 - 11:04 AM,8.7,126.04,16,2,009 km N 38° W of Lianga (Surigao Del Sur)
24 April 2024 - 10:46 AM,19.14,121.24,18,2.4,005 km N 37° E of Dalupiri Island (Calayan) (Cagayan)
24 April 2024 - 10:28 AM,16.7,122.09,26,2.3,026 km N 43° W of Dinapigue (Isabela)
24 April 2024 - 10:07 AM,7.84,126.95,6,2.6,052 km N 56° E of Baganga (Davao Oriental)
24 April 2024 - 10:04 AM,7.83,127.39,1,4.3,096 km N 73° E of Baganga (Davao Oriental)
24 April 2024 - 09:59 AM,7.7,127.56,0,3.8,111 km N 83° E of Baganga (Davao Oriental)
24 April 2024 - 09:09 AM,6.79,124.95,10,3.1,010 km S 62° E of Tulunan (Cotabato)
24 April 2024 - 08:28 AM,12.26,125.5,14,2.5,009 km N 04° W of San Policarpo (Eastern Samar)
24 April 2024 - 07:33 AM,19.92,121.28,10,2.4,077 km S 53° W of Sabtang (Batanes)
24 April 2024 - 07:17 AM,8.75,126.8,5,3.4,056 km S 84° E of Marihatag (Surigao Del Sur)
24 April 2024 - 07:05 AM,7.83,122.81,33,1.5,007 km N 58° E of Kabasalan (Zamboanga Sibugay)
24 April 2024 - 07:03 AM,9.43,126.21,24,1.4,017 km N 09° E of Cortes (Surigao Del Sur)
24 April 2024 - 06:41 AM,10.01,126.14,32,1.5,008 km S 79° E of Burgos (Surigao Del Norte)
24 April 2024 - 06:06 AM,8.87,127.05,8,2,082 km S 86° E of Cagwait (Surigao Del Sur)
24 April 2024 - 04:36 AM,9.36,126.88,3,2.6,079 km N 56° E of Bayabas (Surigao Del Sur)
24 April 2024 - 04:20 AM,6.02,126.33,129,2.3,073 km S 74° E of Don Marcelino (Davao Occidental)
24 April 2024 - 03:25 AM,8.57,126.56,28,2.4,034 km N 48° E of Hinatuan (Surigao Del Sur)
24 April 2024 - 03:16 AM,6.29,126.94,54,2.6,100 km S 33° E of Tarragona (Davao Oriental)
24 April 2024 - 03:10 AM,13.61,120.81,8,3,009 km S 49° W of Tingloy (Batangas)
24 April 2024 - 02:45 AM,6.03,124.89,35,1.9,022 km S 19° E of T'boli (South Cotabato)
24 April 2024 - 01:53 AM,6.4,126.94,164,2.7,091 km S 37° E of Tarragona (Davao Oriental)
24 April 2024 - 01:44 AM,13.8,120.79,7,1.9,015 km S 10° W of City Of Calaca (Batangas)
24 April 2024 - 01:16 AM,19.17,121.01,10,2.6,022 km N 71° W of Dalupiri Island (Calayan) (Cagayan)
23 April 2024 - 11:57 PM,11.18,125.85,4,1.9,018 km N 59° E of Mercedes (Eastern Samar)
23 April 2024 - 11:44 PM,14.72,124.24,16,2.9,075 km N 06° E of Pandan (Catanduanes)
23 April 2024 - 11:42 PM,7.85,126.07,34,1.7,003 km N 29° E of Monkayo (Davao De Oro)
23 April 2024 - 11:31 PM,12.22,124.86,33,1.7,008 km N 16° W of Matuguinao (Samar)
23 April 2024 - 10:43 PM,7.76,124.67,1,2.1,004 km S 27° W of Amai Manabilang (Lanao Del Sur)
23 April 2024 - 10:29 PM,12.47,125.94,13,4,057 km N 55° E of San Policarpo (Eastern Samar)
23 April 2024 - 10:25 PM,7.78,122.11,11,1.6,005 km S 44° W of Baliguian (Zamboanga Del Norte)
23 April 2024 - 10:23 PM,12.41,125.94,14,4.1,054 km N 61° E of San Policarpo (Eastern Samar)
23 April 2024 - 10:12 PM,17.82,121.12,33,1.7,021 km N 84° W of Conner (Apayao)
23 April 2024 - 09:39 PM,20.2,121.23,33,2.8,069 km S 77° W of Sabtang (Batanes)
23 April 2024 - 09:29 PM,8.57,126.26,30,2,016 km N 74° E of Barobo (Surigao Del Sur)
23 April 2024 - 09:20 PM,20.08,121.08,20,2.1,087 km S 71° W of Sabtang (Batanes)
23 April 2024 - 09:15 PM,19.88,121.67,11,1.5,055 km S 23° W of Sabtang (Batanes)
23 April 2024 - 09:13 PM,19.99,121.66,27,1.7,044 km S 31° W of Sabtang (Batanes)
23 April 2024 - 09:12 PM,20.07,121.32,7,3.4,065 km S 64° W of Sabtang (Batanes)
23 April 2024 - 08:58 PM,20.05,121.26,2,4.3,071 km S 64° W of Sabtang (Batanes)
23 April 2024 - 08:55 PM,20.29,121.27,15,5.3,063 km S 86° W of Sabtang (Batanes)
23 April 2024 - 08:11 PM,7.74,126.19,33,1.8,014 km N 57° E of Compostela (Davao De Oro)
23 April 2024 - 08:09 PM,7.65,126.18,33,1.6,010 km S 81° E of Compostela (Davao De Oro)
23 April 2024 - 07:36 PM,7.8,124.63,1,2.2,006 km N 79° W of Amai Manabilang (Lanao Del Sur)
23 April 2024 - 07:31 PM,7.95,126.94,9,2.9,056 km N 72° E of Cateel (Davao Oriental)
23 April 2024 - 07:11 PM,8.83,126.57,24,2.3,032 km S 72° E of Cagwait (Surigao Del Sur)
23 April 2024 - 07:02 PM,5.9,124.62,32,1.4,010 km S 05° W of Kiamba (Sarangani)
23 April 2024 - 06:49 PM,7.75,124.66,3,2.6,005 km S 38° W of Amai Manabilang (Lanao Del Sur)
23 April 2024 - 06:21 PM,7.77,122.31,19,1.6,019 km S 76° E of Baliguian (Zamboanga Del Norte)
23 April 2024 - 06:14 PM,7.78,124.63,1,2.8,006 km S 82° W of Amai Manabilang (Lanao Del Sur)
23 April 2024 - 05:53 PM,12.03,121.96,3,2.6,015 km N 21° E of Malay (Aklan)
23 April 2024 - 05:31 PM,7.75,126.12,32,1.5,010 km N 24° E of Compostela (Davao De Oro)
23 April 2024 - 05:07 PM,8.16,127.1,8,2.8,077 km N 80° E of Lingig (Surigao Del Sur)
23 April 2024 - 05:00 PM,7.17,126.77,32,2.5,026 km S 79° E of Manay (Davao Oriental)
23 April 2024 - 04:56 PM,19.02,121.25,18,3.1,011 km S 28° E of Dalupiri Island (Calayan) (Cagayan)
23 April 2024 - 04:41 PM,8.96,127.06,1,2.4,084 km N 87° E of Cagwait (Surigao Del Sur)
23 April 2024 - 04:38 PM,8.31,126.92,3,3.3,064 km N 62° E of Lingig (Surigao Del Sur)
23 April 2024 - 03:59 PM,11.25,124.61,7,2.3,006 km S 37° W of Capoocan (Leyte)
23 April 2024 - 03:34 PM,11.23,124.6,10,4.4,007 km N 37° E of Kananga (Leyte)
23 April 2024 - 02:40 PM,14.01,120.56,115,1.7,011 km S 75° W of Lian (Batangas)
23 April 2024 - 01:39 PM,19.26,121.26,22,3.5,018 km N 20° E of Dalupiri Island (Calayan) (Cagayan)
23 April 2024 - 12:57 PM,16.3,122,7,2.8,013 km N 79° W of Casiguran (Aurora)
23 April 2024 - 12:23 PM,6.71,126.41,32,2.4,034 km S 38° E of City Of Mati (Davao Oriental)
23 April 2024 - 12:18 PM,12.16,125.82,17,3.2,034 km S 87° E of San Policarpo (Eastern Samar)
23 April 2024 - 11:38 AM,8.6,126.45,24,2.9,028 km S 38° E of Marihatag (Surigao Del Sur)
23 April 2024 - 09:00 AM,6.69,125.12,21,3.5,008 km S 25° W of Magsaysay (Davao Del Sur)
23 April 2024 - 08:27 AM,9.31,126.72,21,1.8,058 km N 86° E of Cortes (Surigao Del Sur)
23 April 2024 - 08:15 AM,8.11,126.62,32,2.9,024 km N 71° E of Lingig (Surigao Del Sur)
23 April 2024 - 07:21 AM,8.29,126.77,20,4.6,048 km S 80° E of Hinatuan (Surigao Del Sur)
23 April 2024 - 06:44 AM,9.54,126.35,32,2.4,034 km S 39° E of General Luna (Surigao Del Norte)
23 April 2024 - 06:25 AM,9.17,126.48,8,1.9,031 km N 45° E of Bayabas (Surigao Del Sur)
23 April 2024 - 06:22 AM,12.74,125.56,8,2.7,044 km N 49° E of Mapanas (Northern Samar)
23 April 2024 - 06:22 AM,15.7,121.31,14,2,011 km S 06° E of Alfonso Castañeda (Nueva Vizcaya)
23 April 2024 - 06:00 AM,4.42,125.27,1,2.6,111 km S 09° W of Balut Island (Municipality Of Sarangani) (Davao Occidental)
23 April 2024 - 05:42 AM,8.55,126.52,6,3,028 km N 45° E of Hinatuan (Surigao Del Sur)
23 April 2024 - 04:36 AM,8.71,126.87,9,2.1,064 km S 81° E of Marihatag (Surigao Del Sur)
23 April 2024 - 03:57 AM,9.03,126.36,24,3.4,011 km N 51° E of Bayabas (Surigao Del Sur)
23 April 2024 - 02:19 AM,6.85,125.3,8,2,012 km N 57° E of Bansalan (Davao Del Sur)
23 April 2024 - 02:11 AM,8.6,126.5,28,2.2,031 km N 35° E of Hinatuan (Surigao Del Sur)
23 April 2024 - 02:09 AM,7.58,126.11,32,1.7,005 km N 37° W of New Bataan (Davao De Oro)
23 April 2024 - 01:58 AM,9.54,126.55,12,3.6,049 km N 53° E of Cortes (Surigao Del Sur)
23 April 2024 - 01:48 AM,7.11,123.93,24,2.2,011 km N 65° W of Datu Blah T. Sinsuat (Maguindanao Del Norte)
23 April 2024 - 01:19 AM,11.02,122.33,18,2.5,017 km S 76° W of Lambunao (Iloilo)
23 April 2024 - 01:15 AM,18.4,121.06,19,1.8,016 km N 05° E of Calanasan (Apayao)
23 April 2024 - 01:14 AM,15.01,120.08,33,1.6,001 km S 38° E of San Narciso (Zambales)
23 April 2024 - 01:10 AM,9.44,125.41,23,2.9,016 km N 47° W of Jabonga (Agusan Del Norte)
23 April 2024 - 01:05 AM,12.76,125.54,10,3.4,044 km N 45° E of Mapanas (Northern Samar)
23 April 2024 - 12:17 AM,12.49,124.73,70,2,003 km S 38° W of Mondragon (Northern Samar)
22 April 2024 - 11:56 PM,10.96,123.1,5,1.7,003 km S 85° W of Manapla (Negros Occidental)
22 April 2024 - 11:54 PM,9.24,125.78,31,1.9,021 km S 83° W of Madrid (Surigao Del Sur)
22 April 2024 - 11:50 PM,9.05,126.36,25,1.9,013 km N 44° E of Bayabas (Surigao Del Sur)
22 April 2024 - 11:39 PM,9.2,126.36,29,1.9,020 km S 67° E of Cortes (Surigao Del Sur)
22 April 2024 - 11:38 PM,9.08,126.29,25,2,009 km N 43° E of Tago (Surigao Del Sur)
22 April 2024 - 11:29 PM,14.24,120.44,110,2.4,023 km S 15° W of Mariveles (Bataan)
22 April 2024 - 11:16 PM,9.03,126.35,27,3.4,010 km N 49° E of Bayabas (Surigao Del Sur)
22 April 2024 - 10:05 PM,13.56,119.86,14,2.3,043 km S 41° W of Lubang (Occidental Mindoro)
22 April 2024 - 09:12 PM,12.17,126.38,25,3.2,095 km S 89° E of San Policarpo (Eastern Samar)
22 April 2024 - 08:38 PM,8.23,126.63,33,2.2,032 km N 48° E of Lingig (Surigao Del Sur)
22 April 2024 - 08:10 PM,19.99,121.37,9,2.8,065 km S 55° W of Sabtang (Batanes)
22 April 2024 - 08:10 PM,2.89,126.82,25,3.7,319 km S 29° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
22 April 2024 - 07:58 PM,17.19,120.67,6,1.8,006 km N 10° W of Quirino (Ilocos Sur)
22 April 2024 - 07:41 PM,8.34,127.17,23,1.9,090 km N 68° E of Lingig (Surigao Del Sur)
22 April 2024 - 07:36 PM,6.01,125,34,1.9,017 km N 03° E of Maasim (Sarangani)
22 April 2024 - 05:32 PM,13.69,120.98,34,1.5,008 km S 35° E of Mabini (Batangas)
22 April 2024 - 05:32 PM,13.71,120.92,34,1.5,005 km S 35° W of Mabini (Batangas)
22 April 2024 - 05:10 PM,12.76,125.65,12,3.2,056 km N 43° E of Gamay (Northern Samar)
22 April 2024 - 04:08 PM,11.99,125.84,15,3.3,039 km S 83° E of Dolores (Eastern Samar)
22 April 2024 - 03:35 PM,6.36,124.66,34,2,008 km S 13° W of Santo Niño (South Cotabato)
22 April 2024 - 03:14 PM,8.42,126.66,32,2,036 km N 80° E of Hinatuan (Surigao Del Sur)
22 April 2024 - 12:54 PM,11.2,124.64,1,2.6,009 km N 80° E of Kananga (Leyte)
22 April 2024 - 11:40 AM,7.95,126.04,21,2.1,004 km S 20° E of Santa Josefa (Agusan Del Sur)
22 April 2024 - 07:05 AM,5.66,125.43,22,2.6,037 km S 24° E of Malapatan (Sarangani)
22 April 2024 - 07:04 AM,12.59,123.51,1,2.9,013 km N 05° E of Baleno (Masbate)
22 April 2024 - 06:21 AM,11.84,124.15,4,2.3,012 km S 67° E of Pio V. Corpus (Masbate)
22 April 2024 - 06:11 AM,8.45,126.29,32,1.6,010 km N 33° W of Hinatuan (Surigao Del Sur)
22 April 2024 - 06:03 AM,7.51,126.05,33,1.6,010 km S 67° W of New Bataan (Davao De Oro)
22 April 2024 - 05:53 AM,7.99,126.91,7,2.9,055 km S 85° E of Lingig (Surigao Del Sur)
22 April 2024 - 05:43 AM,9.16,126.68,1,2.1,048 km N 64° E of Bayabas (Surigao Del Sur)
22 April 2024 - 05:30 AM,17.46,120.69,8,3.4,004 km N 26° W of Manabo (Abra)
22 April 2024 - 05:16 AM,17.43,120.66,5,3,004 km S 71° E of Villaviciosa (Abra)
22 April 2024 - 05:15 AM,13.51,120.82,13,2,012 km N 53° E of Abra De Ilog (Occidental Mindoro)
22 April 2024 - 04:54 AM,9.73,125.97,6,1.5,010 km S 72° W of Dapa (Surigao Del Norte)
22 April 2024 - 04:00 AM,9.9,124.6,20,1.8,009 km N 63° E of Mabini (Bohol)
22 April 2024 - 03:41 AM,8.73,122.41,32,2.3,075 km N 65° W of Jose Dalman (Zamboanga Del Norte)
22 April 2024 - 03:30 AM,13.46,120.66,1,1.6,007 km N 78° W of Abra De Ilog (Occidental Mindoro)
22 April 2024 - 03:25 AM,8.5,126.29,33,1.8,015 km N 19° W of Hinatuan (Surigao Del Sur)
22 April 2024 - 03:08 AM,7.31,123.43,2,2,017 km S 08° E of Tabina (Zamboanga Del Sur)
22 April 2024 - 02:39 AM,6.4,125.53,20,2,009 km S 78° W of Malita (Davao Occidental)
22 April 2024 - 01:37 AM,5.95,125.31,159,2.6,003 km S 37° E of Malapatan (Sarangani)
22 April 2024 - 01:29 AM,8.73,126.78,50,2,054 km S 82° E of Marihatag (Surigao Del Sur)
22 April 2024 - 01:23 AM,18.14,120.93,14,2.1,012 km N 89° E of Carasi (Ilocos Norte)
22 April 2024 - 01:22 AM,8.93,126.15,22,2.2,013 km S 82° E of San Miguel (Surigao Del Sur)
22 April 2024 - 01:15 AM,7.69,125.84,32,1.6,012 km N 09° E of New Corella (Davao Del Norte)
22 April 2024 - 01:07 AM,6.37,126.46,45,3.3,053 km S 54° E of Governor Generoso (Davao Oriental)
21 April 2024 - 11:05 PM,9.37,126.14,29,2.2,012 km N 27° W of Cortes (Surigao Del Sur)
21 April 2024 - 10:53 PM,17.23,120.81,23,1.5,010 km S 72° E of Tubo (Abra)
21 April 2024 - 10:41 PM,8.72,126.64,19,1.9,038 km S 76° E of Marihatag (Surigao Del Sur)
21 April 2024 - 10:39 PM,17.45,120.62,10,3.2,001 km N 15° W of Villaviciosa (Abra)
21 April 2024 - 10:31 PM,13.64,120.61,105,1.8,022 km S 07° W of Calatagan (Batangas)
21 April 2024 - 10:04 PM,6.71,127.52,45,3.5,121 km S 63° E of Manay (Davao Oriental)
21 April 2024 - 09:19 PM,6.88,124.03,2,2.6,012 km N 78° W of South Upi (Maguindanao Del Sur)
21 April 2024 - 09:10 PM,17.72,122.36,7,2.4,040 km N 20° E of Maconacon (Isabela)
21 April 2024 - 08:02 PM,13.59,120.43,3,2.6,019 km N 13° W of Paluan (Occidental Mindoro)
21 April 2024 - 07:59 PM,9.5,126.19,22,1.5,025 km N 01° W of Cortes (Surigao Del Sur)
21 April 2024 - 07:56 PM,8.57,126.65,26,2.3,042 km N 57° E of Hinatuan (Surigao Del Sur)
21 April 2024 - 07:46 PM,8.53,127.06,30,1.8,082 km N 77° E of Hinatuan (Surigao Del Sur)
21 April 2024 - 06:10 PM,12.12,126.18,23,3.4,074 km S 85° E of San Policarpo (Eastern Samar)
21 April 2024 - 06:08 PM,6.58,125.21,21,2.4,007 km S 48° W of Kiblawan (Davao Del Sur)
21 April 2024 - 05:24 PM,7.51,126.06,34,2.2,010 km S 64° W of New Bataan (Davao De Oro)
21 April 2024 - 05:15 PM,7.87,126.58,17,1.6,017 km N 59° E of Cateel (Davao Oriental)
21 April 2024 - 04:41 PM,8.79,126.44,24,1.8,015 km S 85° E of Marihatag (Surigao Del Sur)
21 April 2024 - 03:48 PM,7.98,126.88,6,2.9,051 km N 66° E of Cateel (Davao Oriental)
21 April 2024 - 02:58 PM,8.13,125.96,33,1.5,007 km S 39° W of Bunawan (Agusan Del Sur)
21 April 2024 - 02:47 PM,8.31,126.52,17,2.4,021 km S 74° E of Hinatuan (Surigao Del Sur)
21 April 2024 - 02:46 PM,15.23,120.39,54,2.1,019 km S 86° W of Mabalacat City (Pampanga)
21 April 2024 - 02:20 PM,8.73,127.1,26,3,089 km S 85° E of Marihatag (Surigao Del Sur)
21 April 2024 - 01:57 PM,18.15,120.73,3,2.6,002 km S 29° E of Piddig (Ilocos Norte)
21 April 2024 - 11:58 AM,8.57,126.14,36,1.9,005 km N 23° E of Barobo (Surigao Del Sur)
21 April 2024 - 10:05 AM,10.27,125.52,71,1.4,008 km N 15° W of Libjo (Dinagat Islands)
